#{"t_start": 1743333650.7378013, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,155,3.402065
0.0,133,4.833753
0.0,127,6.143844
0.0,138,7.564382
2.0,218,9.755344
1.0,160,11.522501
0.0,131,12.849632
4.0,326,16.267604
0.0,153,18.078378
0.0,129,19.600621
4.0,285,22.906389
2.0,201,25.509796
1.0,187,28.290182
4.0,265,31.987494
3.0,282,36.273648
2.0,197,39.206336
0.0,129,41.153423
1.0,182,43.712005
1.0,180,46.084459
0.0,131,48.063636
2.0,221,51.374739
0.0,139,53.587747
3.0,254,57.271192
2.0,208,60.274525
0.0,133,62.071026
2.0,223,66.320542
2.0,225,69.925154
1.0,178,73.296465
2.0,209,76.686751
0.0,132,79.361485
2.0,242,84.437653
0.0,128,88.758803
1.0,152,91.808088
2.0,204,96.287811
4.0,284,105.969461
1.0,217,109.295422
0.0,130,113.280395
2.0,228,119.145099
3.0,262,124.494491
2.0,200,128.246914
1.0,182,135.292052
0.0,203,139.386913
2.0,209,144.096924
4.0,281,153.537882
3.0,240,160.992246
3.0,278,170.766475
3.0,301,179.450475
1.0,168,184.149082
1.0,180,190.338555
2.0,297,199.909122
1.0,266,207.359805
3.0,296,214.510715
0.0,291,224.524041
4.0,311,235.572767
1.0,173,239.724576
0.0,126,242.4715
4.0,352,250.13062
2.0,335,258.119775
4.0,370,266.126686
3.0,233,271.834524
2.0,237,276.848385
4.0,371,285.531247
3.0,389,293.072828
0.0,123,296.221963
4.0,312,302.330744
0.0,162,304.944432
0.0,203,311.643309
1.0,154,315.177484
2.0,206,319.74327
2.0,197,324.035371
1.0,260,330.567
0.0,133,333.409657
0.0,133,336.770594
1.0,164,340.056742
0.0,202,343.736814
1.0,153,347.109771
1.0,287,351.733423
0.0,194,358.018074
0.0,140,360.727141
0.0,139,363.729404
1.0,195,368.273097
4.0,350,375.969614
0.0,197,379.721353
3.0,242,385.038414
3.0,605,397.220112
2.0,218,401.743893
0.0,181,404.908623
2.0,248,408.73549
4.0,374,415.239324
4.0,442,422.570335
1.0,152,425.136443
1.0,155,428.138836
5.0,426,436.006492
0.0,347,442.501516
2.0,255,447.006858
2.0,194,450.568597
2.0,231,454.77619
3.0,453,461.551228
2.0,323,466.338545
1.0,206,469.268622
2.0,353,474.482334
1.0,246,478.987629
2.0,363,484.506178
1.0,260,488.211123
6.0,547,496.791537
2.0,458,503.90169
6.0,452,513.267343
6.0,470,521.598891
2.0,304,527.011214
2.0,576,536.928763
5.0,555,547.6759
1.0,245,552.883464
6.0,419,561.252843
2.0,312,567.376806
2.0,325,574.203399
0.0,329,580.799217
1.0,355,589.911746
3.0,216,594.154173
4.0,420,602.247384
1.0,231,606.235729
6.0,532,619.758693
0.0,122,622.048159
1.0,171,625.459257
1.0,275,631.163832
3.0,373,639.413936
2.0,392,646.835945
1.0,188,650.204401
1.0,221,653.135833
2.0,483,660.142362
2.0,293,664.103861
3.0,408,669.238689
1.0,303,673.099888
4.0,404,678.373535
2.0,453,684.056886
2.0,533,690.645312
1.0,313,694.736776
1.0,490,701.203796
1.0,351,706.669638
1.0,176,709.273001
2.0,420,715.58672
3.0,686,726.121178
1.0,854,741.048062
1.0,356,747.934411
3.0,547,757.189422
2.0,403,764.867599
1.0,212,767.792873
0.0,123,770.090402
0.0,158,773.160965
2.0,268,776.460757
1.0,272,782.906074
2.0,558,792.462226
1.0,403,799.332208
2.0,257,803.874761
1.0,273,807.78067
1.0,304,812.04183
3.0,262,816.453185
2.0,359,821.637658
1.0,410,826.907341
5.0,328,834.235334
1.0,248,837.76366
1.0,392,843.268702
1.0,436,848.922555
1.0,275,852.682359
1.0,606,861.416863
2.0,418,867.466843
0.0,489,875.970152
0.0,437,882.907942
0.0,415,889.40508
2.0,400,894.800321
3.0,406,900.440847
3.0,556,907.858005
3.0,428,913.388703
1.0,391,918.764765
3.0,405,924.249442
1.0,293,928.157362
6.0,912,940.835887
0.0,269,944.426236
3.0,225,947.361018
4.0,718,956.65935
4.0,636,966.173616
4.0,323,970.374214
11.0,789,980.716758
2.0,287,984.962707
2.0,607,993.600386
1.0,440,1000.146674
0.0,320,1004.150809
3.0,410,1009.349922
2.0,380,1015.571231
6.0,673,1025.117362
3.0,482,1031.963052
1.0,257,1035.568002
2.0,483,1042.533419
3.0,452,1049.552241
1.0,331,1054.453775
2.0,623,1063.334529
1.0,440,1069.301525
1.0,372,1074.531676
0.0,357,1079.41007
1.0,292,1083.174239
1.0,382,1089.077901
1.0,504,1095.873372
0.0,1112,1110.835053
0.0,609,1119.453061
2.0,598,1127.440906
1.0,377,1132.573053
1.0,759,1145.921694
1.0,388,1152.04695
2.0,356,1157.590384
2.0,558,1164.942925
1.0,191,1167.461458
2.0,376,1172.549953
4.0,584,1179.752878
3.0,489,1186.551441
0.0,327,1193.583384
0.0,384,1200.133114
2.0,448,1207.432424
2.0,313,1212.485576
2.0,467,1219.791282
7.0,749,1233.919374
2.0,434,1243.516303
0.0,571,1254.719279
1.0,599,1267.33567
0.0,371,1274.123529
1.0,673,1286.61183
1.0,282,1290.765625
0.0,403,1297.804967
2.0,825,1311.672558
2.0,873,1323.293314
3.0,440,1329.196834
4.0,414,1335.713776
3.0,436,1342.884521
0.0,460,1350.093317
2.0,529,1359.069871
3.0,882,1373.212305
3.0,395,1379.341639
0.0,247,1382.72147
0.0,324,1387.116498
0.0,660,1395.600862
0.0,460,1401.656859
1.0,399,1407.327472
2.0,377,1412.366395
1.0,499,1418.704372
1.0,329,1422.798497
0.0,204,1425.345441
2.0,322,1429.392625
7.0,620,1437.726505
2.0,977,1452.351603
0.0,274,1456.494126
1.0,662,1465.531843
2.0,511,1472.470753
2.0,756,1482.158729
3.0,636,1494.127172
5.0,574,1502.766006
3.0,526,1510.497505
0.0,308,1516.318636
3.0,384,1522.534359
2.0,210,1525.768045
0.0,126,1527.62435
2.0,226,1530.888891
1.0,200,1533.883309
3.0,575,1542.14087
0.0,271,1545.864114
3.0,437,1553.067144
1.0,456,1559.572547
4.0,475,1565.975892
1.0,280,1569.834683
2.0,202,1572.575327
1.0,341,1577.461661
2.0,490,1584.233801
4.0,512,1591.167501
2.0,229,1594.294685
3.0,458,1601.157375
3.0,541,1608.17392
1.0,202,1612.596583
2.0,277,1616.506572
1.0,212,1619.393869
3.0,352,1623.727613
1.0,385,1628.557328
2.0,502,1634.952649
4.0,544,1641.976163
4.0,561,1649.25096
1.0,287,1652.943083
0.0,682,1659.773055
0.0,385,1661.060522
2.0,380,1662.216096
0.0,219,1662.882607
0.0,174,1663.451211
0.0,305,1664.44138
0.0,244,1665.208433
0.0,197,1665.826947
0.0,255,1666.617277
2.0,701,1668.838626
