#{"t_start": 1744013230.2761657, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,196,5.029869
2.0,218,7.79454
3.0,239,10.691731
3.0,216,12.575386
3.0,219,15.566268
3.0,221,18.749459
0.0,138,20.298128
6.0,402,24.974769
1.0,198,26.655854
6.0,405,32.347164
3.0,249,35.509324
3.0,278,38.648432
11.0,294,41.952493
4.0,254,45.028404
7.0,271,48.269781
3.0,236,51.247482
2.0,195,54.151363
2.0,185,55.911412
7.0,394,60.579009
2.0,195,63.454389
1.0,172,65.500389
4.0,255,69.624562
3.0,237,74.518983
8.0,313,79.433983
4.0,283,83.705244
3.0,223,87.466425
2.0,207,90.759554
3.0,253,94.378634
4.0,265,97.817637
2.0,199,99.941161
3.0,223,103.110054
3.0,230,106.325603
5.0,315,109.981855
3.0,251,113.364625
8.0,404,119.527092
4.0,261,122.900999
8.0,447,128.312151
2.0,206,131.574213
2.0,186,133.594794
3.0,251,136.837285
4.0,280,140.286244
3.0,233,143.583921
1.0,160,145.376859
3.0,251,148.897359
4.0,301,153.747208
3.0,292,157.454391
2.0,206,160.814616
2.0,199,162.92726
1.0,152,164.794874
5.0,310,170.04942
7.0,377,175.525151
8.0,278,179.170664
3.0,214,181.472328
4.0,247,185.080168
3.0,214,188.574261
4.0,263,192.203287
2.0,181,195.2612
8.0,279,198.801219
4.0,284,202.288488
2.0,182,204.329866
8.0,275,208.883782
4.0,244,211.261545
3.0,213,214.441639
7.0,247,217.967956
7.0,246,221.462816
6.0,343,226.785488
4.0,263,230.254686
3.0,357,234.205874
2.0,349,239.029616
11.0,579,247.118268
5.0,317,250.850084
4.0,270,254.31031
7.0,281,257.758794
8.0,298,262.437389
7.0,247,265.740462
5.0,297,269.395608
9.0,330,274.301262
8.0,297,277.896914
3.0,216,281.203723
7.0,251,284.75598
3.0,216,286.878725
8.0,295,291.68504
5.0,294,295.293151
3.0,219,298.563407
5.0,292,302.099618
8.0,299,305.846739
3.0,222,309.536806
3.0,215,312.845238
7.0,253,316.323358
7.0,248,319.695589
3.0,214,322.186345
7.0,250,325.775669
2.0,181,328.902231
3.0,213,331.002356
3.0,213,334.097987
3.0,212,337.399682
2.0,181,339.66744
3.0,219,342.951112
0.0,123,344.754281
1.0,151,346.624887
3.0,216,350.040128
7.0,249,352.282713
2.0,183,355.470681
7.0,253,358.772178
7.0,254,362.118368
3.0,221,365.352529
12.0,330,369.155336
6.0,364,374.284194
1.0,159,376.105982
3.0,241,380.068183
7.0,271,384.057549
3.0,218,387.681478
2.0,192,390.182176
7.0,259,393.767549
3.0,219,397.13606
7.0,269,400.891024
2.0,191,404.354563
7.0,249,407.813305
3.0,219,410.209008
5.0,310,416.45089
7.0,255,420.648178
7.0,253,424.380841
7.0,258,427.577445
2.0,188,429.894461
2.0,185,433.316675
4.0,266,436.941484
3.0,214,440.650223
2.0,183,443.19517
7.0,289,447.764807
4.0,244,451.812932
7.0,246,456.313848
3.0,218,460.685334
7.0,252,465.62456
5.0,308,471.49379
2.0,181,477.32954
4.0,261,483.430427
2.0,185,486.487498
3.0,240,491.667366
8.0,297,496.200601
4.0,247,500.627326
10.0,510,509.514537
4.0,261,513.629529
7.0,386,519.563725
4.0,264,523.708495
7.0,373,529.609396
3.0,228,533.361846
10.0,378,539.234147
3.0,234,543.112741
3.0,212,545.413503
3.0,212,549.026176
3.0,215,552.571424
1.0,150,554.730214
11.0,279,558.642573
2.0,186,562.243057
11.0,303,566.276782
3.0,217,569.960653
7.0,252,573.723985
2.0,193,575.997913
3.0,214,579.58517
3.0,212,582.003102
3.0,214,585.795525
3.0,215,589.553022
2.0,182,591.939807
6.0,339,598.897259
4.0,243,603.369895
5.0,313,607.842014
2.0,183,611.354293
8.0,299,615.581349
8.0,297,619.994117
4.0,300,625.968738
4.0,257,630.249948
2.0,180,632.626001
7.0,267,636.739158
11.0,279,640.848635
4.0,275,645.059455
8.0,309,650.868891
3.0,214,653.576994
7.0,255,657.801524
2.0,183,661.718184
8.0,306,666.171306
8.0,283,672.547617
3.0,210,675.279066
2.0,198,678.964816
7.0,429,685.61867
2.0,218,689.818455
2.0,221,692.503913
3.0,237,696.714785
4.0,306,702.702466
5.0,321,707.517551
4.0,310,713.2507
3.0,226,716.018304
2.0,202,719.895113
3.0,259,724.267045
1.0,168,726.598612
3.0,267,730.914548
5.0,333,737.156352
4.0,279,741.329172
9.0,474,749.831964
7.0,419,756.636792
3.0,255,760.768755
4.0,275,765.042163
3.0,231,768.896887
3.0,231,772.835633
3.0,228,776.834571
3.0,225,779.50243
3.0,229,783.728067
7.0,405,790.112413
4.0,277,795.628329
4.0,294,800.055164
4.0,279,804.508324
5.0,331,810.631991
3.0,227,813.328234
6.0,355,819.413273
3.0,247,823.533855
4.0,299,827.882644
2.0,201,831.803829
6.0,406,838.145354
3.0,248,842.238379
4.0,281,846.672417
3.0,239,850.848368
4.0,280,855.167215
3.0,249,859.485856
5.0,351,865.831469
2.0,200,869.622258
6.0,366,874.37951
5.0,314,880.429471
6.0,376,886.602938
4.0,271,890.856652
3.0,217,894.676193
4.0,266,898.851507
7.0,262,902.914626
7.0,255,907.195546
3.0,245,911.318726
3.0,227,915.232831
3.0,221,917.878037
8.0,393,924.213718
4.0,268,928.27367
6.0,351,934.362971
15.0,434,942.45662
8.0,419,949.09642
6.0,330,953.901246
7.0,379,960.275009
8.0,320,966.36403
10.0,417,972.764296
11.0,478,980.921994
8.0,348,986.982203
2.0,748,998.128551
7.0,396,1004.528886
11.0,395,1012.136451
3.0,245,1014.995412
7.0,250,1019.444391
2.0,185,1023.66539
8.0,275,1028.211682
3.0,216,1032.299459
8.0,301,1036.772143
3.0,220,1040.712645
6.0,319,1045.327737
8.0,294,1051.151684
5.0,310,1056.620219
3.0,216,1060.864205
3.0,214,1063.53717
8.0,293,1069.295862
7.0,272,1073.647854
7.0,262,1077.851127
11.0,281,1082.340338
2.0,195,1086.328138
7.0,823,1099.878059
4.0,281,1104.079636
7.0,299,1109.821423
4.0,280,1114.1514
2.0,193,1116.617295
4.0,271,1120.923145
2.0,208,1125.000755
2.0,192,1127.741051
5.0,327,1133.923886
7.0,264,1138.387599
4.0,299,1143.117288
7.0,441,1151.36498
5.0,362,1157.800752
5.0,342,1162.849145
5.0,365,1169.245237
7.0,373,1175.725544
7.0,419,1183.186119
3.0,234,1187.399627
6.0,395,1193.914759
7.0,403,1200.530734
7.0,364,1206.942709
8.0,456,1215.399641
4.0,283,1219.781354
6.0,426,1226.566583
9.0,338,1232.703358
6.0,342,1238.962929
8.0,436,1245.700324
6.0,349,1251.728798
15.0,414,1258.305363
15.0,588,1268.475659
5.0,322,1273.123135
4.0,308,1279.006724
9.0,357,1283.988638
9.0,459,1292.336454
10.0,497,1301.080083
12.0,416,1307.816961
6.0,352,1314.11096
9.0,484,1322.839115
7.0,374,1329.549153
7.0,301,1335.424748
5.0,313,1340.43693
5.0,322,1347.501714
3.0,282,1352.48182
7.0,410,1360.571974
6.0,377,1367.787705
5.0,316,1373.852476
8.0,407,1380.404391
9.0,505,1388.815258
5.0,305,1393.229366
12.0,605,1403.412743
6.0,345,1409.499352
7.0,409,1416.01411
5.0,301,1420.4613
4.0,292,1424.925717
7.0,407,1432.645965
6.0,331,1437.191501
7.0,382,1443.484379
7.0,368,1449.687522
7.0,390,1456.106646
3.0,218,1460.087311
2.0,197,1462.610885
5.0,305,1468.679004
6.0,372,1475.16582
7.0,399,1481.657765
3.0,235,1485.849388
5.0,319,1490.34462
6.0,368,1496.533472
5.0,303,1501.045113
10.0,515,1509.586993
3.0,243,1513.65588
2.0,613,1523.819528
3.0,227,1527.905619
5.0,323,1532.618737
3.0,287,1538.43943
2.0,189,1541.086858
2.0,201,1544.958138
11.0,619,1553.993546
3.0,217,1557.813758
7.0,267,1562.13811
2.0,193,1565.942887
2.0,186,1568.518249
3.0,214,1572.445717
3.0,220,1576.426754
2.0,191,1578.935958
3.0,218,1583.040095
3.0,223,1587.110762
4.0,250,1590.05312
7.0,332,1596.041699
6.0,330,1602.090538
8.0,290,1606.352722
4.0,281,1610.726644
9.0,459,1618.661585
10.0,391,1625.014493
9.0,492,1633.464386
2.0,185,1636.031106
4.0,271,1640.275321
8.0,411,1646.869666
8.0,299,1652.767154
5.0,328,1657.787546
10.0,458,1666.240344
6.0,345,1672.436208
6.0,362,1677.542459
8.0,297,1683.511344
