#{"t_start": 1743859492.033241, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,133,17.788223
0.0,156,31.909995
3.0,268,59.746196
1.0,209,74.231387
4.0,269,115.647336
1.0,180,129.9656
7.0,268,158.167091
1.0,161,172.157252
0.0,149,200.071411
3.0,260,228.521058
4.0,272,257.08042
1.0,159,271.632442
0.0,132,285.873131
4.0,253,314.1977
1.0,157,328.625441
1.0,161,343.199014
2.0,187,371.405741
2.0,184,385.815321
3.0,229,413.545866
3.0,219,442.013255
3.0,255,470.858225
1.0,163,485.021915
2.0,202,513.198058
3.0,325,541.947742
11.0,304,584.128461
2.0,200,598.791223
1.0,502,655.956499
7.0,273,684.974926
3.0,239,713.99262
7.0,300,742.987901
2.0,233,771.062438
4.0,291,799.689574
6.0,388,856.029988
2.0,232,871.201793
5.0,375,913.640372
0.0,205,941.616473
1.0,220,969.965914
7.0,492,1012.967707
7.0,381,1055.315725
0.0,135,1069.601751
2.0,209,1098.260549
6.0,403,1144.709506
0.0,127,1159.484233
2.0,206,1188.688282
2.0,182,1204.744392
4.0,283,1234.965184
0.0,154,1264.38604
3.0,1717,1470.25215
1.0,196,1501.50644
7.0,334,1533.751369
2.0,206,1567.771016
0.0,123,1584.801615
1.0,165,1603.218399
5.0,309,1635.148976
8.0,300,1683.907048
4.0,247,1714.584558
2.0,195,1729.912244
3.0,243,1759.905922
4.0,261,1789.202248
4.0,263,1818.536533
4.0,270,1845.543434
0.0,128,1858.815623
4.0,284,1897.678885
5.0,680,1966.869709
1.0,181,1982.290966
7.0,420,2049.988846
2.0,183,2068.253909
1.0,151,2083.908912
2.0,202,2114.396548
2.0,219,2144.684249
6.0,348,2176.755085
7.0,262,2210.626594
3.0,241,2240.420699
5.0,313,2285.500419
3.0,248,2315.863626
7.0,281,2347.477124
2.0,202,2364.216364
3.0,231,2395.683201
2.0,218,2424.576337
2.0,241,2453.333831
2.0,232,2482.296819
5.0,305,2511.753211
9.0,375,2555.335601
1.0,184,2570.546882
7.0,246,2599.766624
2.0,182,2628.076757
3.0,212,2643.147727
3.0,227,2673.01766
2.0,181,2688.273474
3.0,268,2730.973978
5.0,297,2760.134259
3.0,270,2789.506528
3.0,409,2833.667856
1.0,233,2862.703445
2.0,186,2877.608782
4.0,284,2920.009224
5.0,296,2949.751944
1.0,165,2964.393875
2.0,205,2992.854499
3.0,249,3021.951881
3.0,235,3051.537449
