#{"t_start": 1744427491.0343585, "env_id": "LunarLander-v2"}
r,l,t
-121.801689,80,2.930824
-178.483316,108,3.088369
-87.407724,53,3.168637
-104.75947,71,3.256485
-129.176225,95,3.368551
-250.452081,98,3.503894
-234.428409,87,3.617442
-89.810538,75,3.714449
-82.526277,68,3.796559
-93.951,104,3.9492
-261.513841,79,4.073794
-392.725593,118,4.244904
-322.973573,90,4.382855
-473.631691,86,4.517915
-103.231498,95,4.669535
-34.985863,76,4.765002
-199.013889,86,4.875266
-81.595176,63,4.963018
-166.941748,104,5.118653
-356.155775,103,5.257164
-151.353991,114,5.42238
-241.858605,120,5.5998
-141.704454,90,7.868393
-110.790545,77,7.977937
-108.569191,74,8.069664
-45.913639,71,8.173773
-209.65637,119,8.359902
-303.138268,75,8.474936
-100.311159,94,8.593166
-167.003351,102,8.740681
-73.41359,74,8.858541
-129.312407,100,9.02446
-90.099017,109,9.198044
-123.078404,69,9.311942
-62.809739,60,9.420647
-106.645212,68,9.536582
-146.179987,69,9.649333
-404.521431,97,9.80091
-111.492929,85,9.941692
-290.995403,135,10.151979
-62.56632,72,10.277634
-233.802185,104,10.434138
-379.911686,95,10.589387
-135.055014,65,10.696633
-355.219717,123,10.891606
-352.737982,123,12.845623
-24.426936,108,13.014042
-132.610663,82,13.142524
-191.894241,91,13.302476
-58.34668,75,13.414918
-242.207105,166,13.703825
-108.854794,74,13.826588
-106.129069,79,13.967482
-51.825974,67,14.088344
-78.630297,129,14.294613
-87.049714,113,14.488567
-92.908873,102,14.681651
-252.674616,81,14.819283
-210.067868,78,14.953606
-121.478914,120,15.158361
-121.693798,111,15.357783
-88.403652,107,15.554582
-133.236259,139,15.793752
-188.23541,76,15.927076
-399.39288,121,16.129495
-390.472449,145,18.160294
-210.313555,137,18.3828
-285.02154,105,18.558496
-329.873955,138,18.799223
-85.487344,129,19.033707
-280.49935,74,19.145563
-131.556933,116,19.349938
-469.40887,139,19.611613
-164.757783,110,19.801286
-124.676111,138,20.046512
-113.788225,80,20.171379
-131.200223,111,20.352437
-90.966082,115,20.549104
-249.607539,115,20.755343
-293.368955,99,20.924214
-148.834537,115,21.117763
-41.128941,84,21.267479
-86.694422,105,21.452133
-292.394058,110,23.528649
-95.894608,116,23.726903
-359.959179,106,23.908047
-231.478601,95,24.058747
-286.555484,173,24.346395
-244.503201,94,24.514058
-346.066136,108,24.688399
-369.343921,136,24.908134
-114.58441,189,25.232743
-155.922301,118,25.418817
-126.348036,106,25.597197
-404.825047,160,25.853262
-93.878023,191,26.174775
-64.763358,95,26.337381
-61.967206,84,26.487345
-278.325482,109,26.669161
-164.273273,112,26.864444
-207.206548,78,28.803632
-81.520781,99,28.977256
-269.813944,162,29.241345
-211.561422,95,29.393188
-88.053798,111,29.578794
-108.672236,74,29.715067
-65.516929,120,29.91647
-102.620211,133,30.150607
-222.051694,106,30.345196
-245.905635,125,30.59307
-53.119968,88,30.744057
-64.928188,150,31.006525
-92.496375,165,31.246617
-117.286041,72,31.356722
-110.794032,91,31.511485
-95.258366,155,31.771845
-91.528934,111,31.96465
-159.518908,135,32.184319
-335.628658,178,34.340669
-263.539579,113,34.556261
-556.317491,141,34.798836
-194.793905,145,35.045044
-543.349869,186,35.366419
-66.477959,175,35.693238
-120.903547,116,35.911881
-103.607388,118,36.138378
-158.920734,118,36.366109
-293.06007,93,36.531948
-62.080459,80,36.663312
-82.287968,143,36.918516
-450.364125,87,37.08183
-55.220516,117,37.301119
-314.395935,88,37.467336
-345.116732,149,37.714191
-317.386609,239,39.882129
-203.07318,87,40.041895
-70.973059,185,40.34333
-280.702233,96,40.492497
-209.596033,157,40.749295
-229.585642,126,40.957639
-351.59114,153,41.216305
-122.544199,159,41.502593
-136.093693,182,41.811577
-173.128681,136,42.051177
-277.923274,177,42.364773
-259.753563,121,42.571237
-288.359777,156,42.854589
-57.93101,86,43.010862
-59.129716,171,45.109273
-265.914783,159,45.36823
-110.085183,148,45.631279
-64.901401,94,45.793402
-18.368161,170,46.097369
-75.204504,89,46.250089
-69.385597,90,46.389326
-134.740671,114,46.587882
-87.260003,103,46.757059
-46.214725,137,47.010326
-147.315089,144,47.263283
-250.153104,109,47.444393
-90.77627,133,47.681361
-76.618244,118,47.885264
-17.071572,120,48.081444
-71.850271,107,48.28349
-33.014031,97,50.222121
-13.589035,109,50.392701
-166.221266,166,50.683205
-160.419421,113,50.878403
-331.43835,177,51.200232
-211.896765,160,51.463587
-103.816821,111,51.667771
-387.837242,158,51.936482
-79.986774,149,52.198689
-43.224994,131,52.435023
-65.111879,122,52.65056
-64.959098,163,52.924285
-43.758924,110,53.104386
-237.516403,97,53.248289
-158.618445,143,53.492926
-190.222798,137,55.493677
-236.599001,146,55.729302
-102.273105,103,55.888019
-136.409544,166,56.166034
-126.48382,132,56.365943
-296.893048,89,56.526271
-82.853678,128,56.745199
-454.849593,146,57.014524
-44.214533,121,57.234116
-49.618278,99,57.410223
-53.912854,130,57.626271
-152.212533,116,57.831362
-330.626311,126,58.060141
-41.089042,107,58.246259
-151.127347,213,58.634118
-158.599309,141,58.874732
-93.34363,105,60.83943
-216.042568,110,61.023357
-67.868011,185,61.330661
-8.604062,146,61.579811
-77.911894,169,61.863304
-384.052857,148,62.134176
-253.912875,161,62.405988
-66.968682,150,62.640326
-251.462136,157,62.89416
-188.878249,246,63.317187
-83.745793,116,63.525162
-92.834324,149,63.81117
-277.08596,185,64.143542
-82.288777,119,66.151853
-143.201746,89,66.324128
-155.095591,180,66.644805
-350.333796,234,67.028433
-297.841166,124,67.246775
-155.144947,123,67.459597
-99.83723,132,67.700167
-42.400275,150,67.942048
-181.502947,118,68.141628
-154.03829,235,68.538972
-311.793765,127,68.768486
-73.442873,133,69.02464
-170.374165,123,69.24354
-129.307674,145,69.506117
-58.439012,147,71.533437
-67.648505,167,71.850172
-65.730998,103,72.022182
-56.386218,167,72.306083
-54.639431,151,72.569128
-6.978497,189,72.89724
-62.798309,155,73.1716
-50.283259,158,73.426599
-88.674117,214,73.809602
-18.588098,241,74.258575
-95.758257,132,74.498278
-211.59028,131,74.743887
-61.247432,143,75.033117
-22.282035,107,76.985997
-202.0095,138,77.241392
-44.243904,154,77.494293
-42.815313,84,77.632175
-166.842678,189,77.95185
-222.961322,207,78.306889
-285.769044,184,78.637062
-45.666043,108,78.831985
-36.526524,140,79.081474
-101.977359,177,79.401922
-144.684845,170,79.694214
-45.517531,129,79.926008
-263.745341,208,80.283133
-38.818913,177,82.331393
-51.681729,232,82.723934
-257.898318,224,83.089918
-226.311026,342,83.638777
31.453427,199,83.993882
-235.775733,200,84.357465
-329.856845,270,84.809728
-8.944886,211,85.169711
7.388573,142,85.429398
-230.3757,188,87.488541
-62.679621,154,87.741798
0.94128,210,88.123535
-217.569409,102,88.294637
-155.025898,136,88.530423
-8.968181,248,88.959401
-30.542175,127,89.182729
-47.556549,92,89.333927
-310.477321,173,89.670857
-97.012154,168,89.975044
-18.732472,198,90.326143
-74.04436,121,90.540568
-62.571252,82,90.677418
-28.006485,191,92.795096
-51.229232,96,92.954605
-183.615075,145,93.204836
-6.956647,152,93.460285
-107.357009,142,93.738697
-18.857303,95,93.899745
-52.542374,120,94.098433
-51.893461,157,94.362891
-52.144194,185,94.698437
-26.957941,142,94.958711
