#{"t_start": 1744471136.776834, "env_id": "LunarLander-v2"}
r,l,t
-114.788133,72,3.970201
-165.055475,96,4.210875
-159.356918,94,4.44889
-224.373345,110,4.68306
-258.096903,121,4.952469
-91.106535,114,5.203608
-254.462995,108,5.483666
-161.969211,112,5.743009
-337.598572,107,5.988749
-78.990942,63,6.139321
-197.095836,84,6.305629
-180.982016,71,6.467893
-72.503068,88,6.649964
-128.467318,58,6.786088
-72.682719,71,6.954268
-250.602751,120,7.241445
-389.30273,93,7.464957
-128.623667,87,7.683261
-86.752562,106,7.953297
-203.865926,77,8.138074
-286.981732,119,8.465677
-114.38955,95,11.768348
29.2539,576,13.324703
-319.844425,101,13.582366
-51.88191,71,13.758
-392.354523,119,14.074603
-68.387919,79,14.258329
-91.512026,95,14.499507
-357.357516,86,14.737815
-88.451892,90,14.965729
-117.256802,108,15.294594
-120.283379,83,15.519755
-298.764047,101,15.775651
80.113631,1000,21.406595
-55.02456,125,21.667647
-216.598295,75,21.852047
-303.867531,95,22.057031
-160.220046,56,22.175376
-39.099282,79,22.327233
-361.271466,107,22.551024
-314.266743,121,22.815171
-266.466239,89,23.06483
-384.088978,109,23.456841
-363.285556,83,23.68046
-114.136271,67,23.852677
-381.95373,106,24.10857
-184.204768,69,24.258581
-253.160335,81,24.526597
-289.852047,103,24.822464
-217.14747,115,25.313622
-367.988293,96,28.37342
-80.104844,67,28.557353
-231.933622,83,28.752214
-262.016063,91,28.996202
-88.906532,114,29.306643
-20.321821,77,29.496261
-94.920606,66,29.659689
-189.401822,135,29.984496
-86.946049,67,30.195469
-124.550334,90,30.404347
-124.330843,87,30.606668
-130.559621,113,30.884773
-123.593574,81,31.080339
-203.433787,109,31.435299
-23.380782,133,31.960122
-211.308083,107,32.238484
-343.773814,114,32.530702
-190.901301,104,32.768108
-204.19632,97,32.992339
-164.003628,77,33.219678
-267.891433,132,33.62069
-84.348193,85,33.823801
-89.947074,103,36.515854
-15.259929,95,36.743565
-308.956698,87,36.929529
-386.829177,100,37.14776
-100.917239,109,37.392464
-55.276754,97,37.622697
-102.404291,62,37.773503
-74.222894,66,37.912228
-111.872205,97,38.150472
-296.618814,65,38.306617
-156.262563,121,38.610812
-42.068053,111,38.91348
-62.138913,69,39.111955
-268.215682,127,39.518695
-197.297966,117,39.868658
-99.33322,77,40.073315
-106.425994,108,40.37521
-166.964819,78,40.586592
-145.986096,88,40.791154
-113.638502,118,41.031724
-144.147266,102,41.229965
-161.456865,106,43.698343
-162.979469,125,43.965403
-113.902263,98,44.194498
-225.182346,114,44.480718
-132.969651,107,44.73261
-206.379819,124,45.054511
-85.114185,88,45.282573
-150.891588,101,45.610667
-161.126638,104,45.944374
-97.875612,121,46.263322
-99.881569,75,46.450531
-124.773196,79,46.661701
-107.938967,75,46.856345
-226.366749,147,47.24572
-124.471878,120,47.613626
-73.980091,60,47.771533
-70.431725,70,47.975351
-149.31916,127,48.30973
-42.657537,77,48.496798
-118.444043,81,48.679607
-276.879693,103,48.930959
-111.310049,77,51.532131
-229.82266,95,51.741187
-115.390834,104,51.955627
-446.070476,109,52.209375
-67.569446,93,52.441753
-85.696418,97,52.668576
-126.377916,108,52.913825
-95.604135,107,53.165001
-187.381744,126,53.471955
-68.976216,71,53.636901
-42.083572,69,53.803295
-234.177931,102,54.050007
-42.447233,68,54.210699
-64.811095,107,54.473564
-204.306818,141,54.821069
-190.2256,93,55.041038
