#{"t_start": 1744475367.6523442, "env_id": "LunarLander-v2"}
r,l,t
-700.0,70,0.218398
-1270.0,127,0.536044
-850.0,85,0.701728
-1190.0,119,0.985629
-620.0,62,1.148009
-650.0,65,1.314819
-1030.0,103,1.57223
-830.0,83,1.752307
-970.0,97,1.927366
-1000.0,100,2.106392
-720.0,72,2.243795
-1120.0,112,2.465883
-1130.0,113,2.723916
-1070.0,107,2.973843
-1050.0,105,3.212847
-930.0,93,3.424146
-1110.0,111,3.63977
-930.0,93,3.815939
-1040.0,104,4.017054
-1210.0,121,4.23096
-1260.0,126,6.502397
-910.0,91,6.665654
-1380.0,138,6.944236
-1060.0,106,7.168978
-600.0,60,7.310805
-850.0,85,7.465528
-700.0,70,7.595875
-810.0,81,7.755961
-1030.0,103,7.969365
-1310.0,131,8.218783
-830.0,83,8.393949
-850.0,85,8.58162
-900.0,90,8.761089
-1200.0,120,8.998792
-610.0,61,9.118079
-1050.0,105,9.32712
-720.0,72,9.455785
-900.0,90,9.641732
-1200.0,120,9.889503
-890.0,89,10.078134
-1170.0,117,10.313801
-680.0,68,10.49382
-990.0,99,12.812897
-1150.0,115,13.012282
-950.0,95,13.230081
-1270.0,127,13.524539
-780.0,78,13.667054
-750.0,75,13.814318
-730.0,73,13.965575
-820.0,82,14.148602
-1170.0,117,14.37765
-1440.0,144,14.621241
-1210.0,121,14.863519
-670.0,67,14.994267
-790.0,79,15.144122
-660.0,66,15.271042
-700.0,70,15.399639
-900.0,90,15.576952
-1240.0,124,15.852082
-720.0,72,15.991925
-800.0,80,16.149199
-560.0,56,16.242352
-1070.0,107,16.440964
-1140.0,114,16.670264
-1020.0,102,19.046892
-940.0,94,19.276479
-950.0,95,19.464738
-700.0,70,19.614134
-1040.0,104,19.818533
-1200.0,120,20.021573
-620.0,62,20.138234
-710.0,71,20.273308
-760.0,76,20.405601
-1000.0,100,20.596634
-550.0,55,20.688952
-1160.0,116,20.902231
-880.0,88,21.081542
-730.0,73,21.247395
-860.0,86,21.428616
-600.0,60,21.578657
-950.0,95,21.786382
-940.0,94,21.977631
-830.0,83,22.158145
-740.0,74,22.306948
-1270.0,127,22.561207
-1120.0,112,22.794288
-920.0,92,22.981519
-580.0,58,23.099667
-570.0,57,25.22233
-1170.0,117,25.476457
-1060.0,106,25.688388
-670.0,67,25.808495
-1060.0,106,26.001286
-650.0,65,26.126715
-830.0,83,26.30199
-840.0,84,26.543713
-1080.0,108,26.855567
-640.0,64,27.013264
-910.0,91,27.230886
-860.0,86,27.41449
-600.0,60,27.526226
-760.0,76,27.651095
-1060.0,106,27.847607
-980.0,98,28.029149
-770.0,77,28.171448
-630.0,63,28.292392
-840.0,84,28.437476
-1030.0,103,28.612513
-910.0,91,28.77564
-970.0,97,28.943088
-940.0,94,29.099792
-750.0,75,31.231593
-920.0,92,31.388577
-1040.0,104,31.586439
-620.0,62,31.713129
-770.0,77,31.849836
-830.0,83,32.005829
-610.0,61,32.119785
-950.0,95,32.317532
-550.0,55,32.434174
-910.0,91,32.617166
-620.0,62,32.744839
-700.0,70,32.890943
-700.0,70,33.01988
-680.0,68,33.149468
-1030.0,103,33.360502
-920.0,92,33.542514
-850.0,85,33.728281
-810.0,81,33.890799
-1040.0,104,34.097056
-760.0,76,34.255436
-570.0,57,34.371238
-1100.0,110,34.76176
-700.0,70,34.934171
-1100.0,110,35.197545
-770.0,77,35.376564
-840.0,84,35.53116
-880.0,88,37.557512
-910.0,91,37.732596
-880.0,88,37.891134
-810.0,81,38.053522
-1070.0,107,38.267543
-1040.0,104,38.476018
-630.0,63,38.599019
-710.0,71,38.743348
-750.0,75,38.903541
-1360.0,136,39.182385
-650.0,65,39.325746
-1000.0,100,39.520838
-1020.0,102,39.735556
-1120.0,112,39.932332
-1050.0,105,40.14807
-890.0,89,40.322479
-840.0,84,40.497503
-1170.0,117,40.76116
-630.0,63,40.887277
-610.0,61,41.027086
-790.0,79,41.200765
-1000.0,100,41.399029
-660.0,66,41.538869
-1020.0,102,43.932242
-970.0,97,44.109335
-830.0,83,44.261734
-610.0,61,44.371169
-830.0,83,44.513206
-700.0,70,44.626592
-910.0,91,44.816069
-920.0,92,44.999585
-620.0,62,45.146342
-730.0,73,45.306418
-1120.0,112,45.524515
-790.0,79,45.676553
-1070.0,107,45.878325
-620.0,62,45.990494
-1050.0,105,46.193247
-950.0,95,46.363335
-1050.0,105,46.566654
-520.0,52,46.671512
-660.0,66,46.791971
-730.0,73,46.933799
-780.0,78,47.074532
-580.0,58,47.180954
-730.0,73,47.311879
-830.0,83,47.463407
-570.0,57,47.597248
-660.0,66,49.880448
-1050.0,105,50.089181
-840.0,84,50.239531
-670.0,67,50.38606
-1070.0,107,50.739534
-950.0,95,50.966928
-780.0,78,51.149872
-880.0,88,51.351678
-970.0,97,51.532421
-1030.0,103,51.739857
-1000.0,100,51.934585
-750.0,75,52.054751
-1080.0,108,52.241815
-860.0,86,52.393794
