#{"t_start": 1744462279.9696674, "env_id": "LunarLander-v2"}
r,l,t
-123.468337,86,3.607555
-4.200258,126,3.800961
-110.956531,132,3.9742
-354.484167,73,4.086843
-198.417305,94,4.257383
-68.505424,65,4.369717
-359.724021,132,4.572543
-185.459832,91,4.728008
-198.262494,141,5.000372
-99.322434,65,5.116128
-135.589114,91,5.232129
-293.994716,88,5.350689
-381.450828,91,5.462263
-344.053047,92,5.5789
-231.210724,88,5.696792
-177.764367,86,5.832312
-180.789971,115,5.990957
-212.092804,95,6.122462
-92.519266,75,6.23305
-179.541683,109,6.401119
-182.200971,81,6.514482
-110.248298,124,8.747431
-62.255686,111,8.910692
-126.644283,90,9.057948
-311.35927,90,9.202248
-81.577169,94,9.353212
-92.943929,73,9.450316
-89.831445,71,9.55782
-308.995568,80,9.679953
-297.221709,78,9.801023
-105.038211,80,9.922008
-363.592042,107,10.085612
16.562155,75,10.210032
-355.053184,97,10.365603
-243.188051,114,10.542584
-227.360096,96,10.714289
-435.986601,82,10.8534
-249.656389,110,11.020556
-157.375526,123,11.231875
-139.385945,110,11.408054
-281.227856,107,11.583581
-97.70723,92,11.743886
-45.506675,69,11.863971
-148.034633,107,14.10116
-110.179063,86,14.245111
-117.75547,99,14.397977
-350.674394,87,14.538595
-121.969377,68,14.656267
-161.689777,68,14.778538
-268.420923,111,14.972608
-139.199679,115,15.180884
-129.076966,110,15.346928
-432.259711,112,15.530897
-82.46188,132,15.752024
-88.036289,97,15.919861
-141.814891,92,16.085788
-120.158961,53,16.176903
-426.214154,101,16.345082
-83.82897,77,16.477174
-83.883776,80,16.608011
-247.758812,67,16.718873
-250.354873,91,16.872178
-329.642506,98,17.049445
-416.499025,79,17.200264
-135.210333,71,17.327127
-371.363967,97,19.595313
-71.711332,67,19.72692
-123.412433,110,19.915336
-392.969262,89,20.115338
-127.773851,106,20.370279
-256.977636,108,20.627155
-228.115737,152,20.933114
-338.527684,81,21.070581
-112.272324,82,21.20482
-351.950423,123,21.416939
-17.188933,74,21.554619
-113.999346,76,21.68465
-130.50381,94,21.861044
-177.80979,100,22.034729
-161.886015,91,22.182321
-95.340114,83,22.316265
-68.791608,78,22.444741
-148.541812,100,22.607777
-90.371186,104,22.777898
-371.865033,124,22.977357
-45.343512,99,23.158462
-119.880819,79,25.236735
-74.858016,71,25.356156
-260.477885,90,25.508958
-234.007896,110,25.704154
-202.282645,90,25.860954
-264.891183,128,26.101814
-147.472488,93,26.270848
-368.978023,142,26.528441
-131.247289,93,26.688031
-87.481263,63,26.79356
-55.377659,74,26.923821
-206.41025,93,27.085194
-218.457763,72,27.204083
-127.58838,64,27.325613
-281.707061,112,27.531841
-257.164133,87,27.703931
-140.9497,114,27.897886
-85.953756,76,28.061095
-200.83961,106,28.344567
-307.714886,122,28.598569
-58.203236,62,28.733545
-67.597262,79,28.912101
-102.149019,70,29.038121
-111.022814,62,30.992398
5.16966,112,31.175847
-119.884886,74,31.30483
-221.661718,168,31.589439
-60.827863,81,31.740355
-212.115155,105,31.922344
-89.075444,89,32.077871
-292.190623,96,32.254327
-71.913066,125,32.466069
-87.173199,107,32.661792
-120.213562,102,32.828006
-151.269356,90,33.000905
-346.114884,127,33.227348
-23.055999,99,33.397708
-48.679568,81,33.531038
-81.353268,75,33.660133
-238.671376,116,33.857772
-174.815583,108,34.043798
-270.299522,142,34.311044
-83.104502,72,34.440686
-124.947831,125,36.791809
7.513859,122,37.030774
-415.330003,117,37.277769
-190.453653,102,37.506489
-139.640753,128,37.778061
-217.404089,114,38.015675
-155.182996,130,38.25664
-63.963865,73,38.379859
-146.766303,120,38.582184
-107.198415,118,38.782923
-122.205286,95,38.935791
-199.728404,102,39.110127
-144.626396,90,39.249286
-160.567027,84,39.39188
-84.570629,134,39.608979
-71.595106,85,39.746383
-243.962987,85,39.901811
-58.671843,71,40.030041
-230.440921,162,40.323419
-328.942677,168,42.545319
-75.634648,134,42.807455
-62.281622,79,42.942204
-75.242673,133,43.193717
-105.80429,106,43.37554
-227.496524,167,43.678251
-118.308945,104,43.872463
-105.747097,98,44.09997
-85.017755,76,44.294917
-189.5094,111,44.538899
-161.249548,109,44.76859
-99.934094,110,45.002983
-57.323988,74,45.13172
-127.523216,84,45.275743
-100.336558,100,45.44066
-110.022488,187,45.752753
-183.742549,164,46.011624
-108.340042,92,48.039442
-68.864896,105,48.246586
-54.89431,122,48.455323
-92.85475,99,48.616734
-218.911455,165,48.905563
-57.096744,179,49.211942
-129.470964,124,49.434996
-272.86134,272,49.917183
-21.61124,98,50.111936
-139.991129,166,50.435366
-211.064553,107,50.64409
-92.66169,199,51.016306
-263.289487,165,51.332177
-97.566902,135,51.571837
-107.062364,124,53.91337
-126.402155,217,54.28334
-120.216659,147,54.518885
-115.689925,117,54.712673
-77.823182,185,55.047725
-135.407188,146,55.290095
-32.026761,147,55.551495
-70.226242,117,55.75862
-84.969542,127,55.980564
-260.352098,111,56.190362
-108.805003,153,56.460006
-135.167594,95,56.62083
-66.878201,96,56.796986
-75.756498,154,57.07806
-65.073855,83,57.226954
-51.516435,169,59.467694
-85.440797,242,59.902137
-69.52777,223,60.433748
-75.579642,124,60.70222
-188.408177,270,61.208036
-28.056101,223,61.555621
-33.050805,117,61.734083
-7.296082,146,61.972406
-13.976048,157,62.210062
-229.765387,214,62.570754
-55.85341,158,62.905363
-29.369423,113,63.107532
-46.303473,156,65.2976
-56.728559,241,65.743531
-17.332428,121,65.960127
-85.244434,180,66.28614
-55.284496,191,66.654061
-11.288024,122,66.876869
-37.781085,124,67.080792
-69.11625,146,67.327367
-92.507313,158,67.590349
-119.995418,119,67.806607
-67.345023,156,68.164609
-30.524157,133,68.49888
-66.725562,168,68.834424
-55.506642,143,70.888166
-53.086524,97,71.052981
-104.815576,212,71.421784
-369.102155,200,71.744334
-209.638943,168,72.026183
-192.445877,140,72.286518
-94.689566,123,72.503771
-284.554868,157,72.762946
47.795691,186,73.087858
-38.861503,183,73.431532
-226.982979,195,73.793864
-15.495248,109,73.969059
-325.363073,183,74.288246
-55.947364,148,76.644035
-281.349226,207,77.065423
-73.54628,161,77.326587
-171.937292,114,77.514375
-58.331762,105,77.6838
21.726729,163,77.955913
-40.014132,150,78.196656
-196.674992,189,78.503459
16.454145,131,78.750455
-241.161102,159,79.066995
-294.049835,182,79.363868
-32.671408,123,79.560167
-288.54538,204,79.915598
-37.079362,133,82.014836
-36.367167,145,82.281326
-41.673119,212,82.638468
18.797312,158,82.937334
13.092331,126,83.19143
-52.307034,114,83.420216
-59.691859,134,83.675212
-270.257995,248,84.278753
-21.119659,138,84.613368
-105.817091,152,84.980557
-147.270544,194,85.322524
-24.481322,121,85.527937
-153.788971,231,87.824906
1.139854,143,88.070758
-22.957285,122,88.28237
-81.764207,225,88.684317
-48.699736,236,89.139219
-40.649888,197,89.471862
-131.356834,180,89.801543
10.754809,169,90.103833
-55.317963,161,90.411587
-48.576,254,90.859721
-10.587599,196,91.218921
-164.325255,193,93.612685
-6.962897,136,93.847994
-4.829348,114,94.075234
-67.563279,262,94.536174
54.401699,1000,96.316271
-80.322826,235,96.733155
28.977931,133,96.961748
-88.458897,208,99.31008
-234.735631,364,99.995774
-242.730041,222,100.562838
-184.108103,217,101.01713
-162.278512,166,101.282418
-85.659592,365,101.895381
-224.90323,193,102.204252
-59.373866,267,102.627486
-4.806235,203,104.837843
-19.543858,258,105.254966
-287.656608,375,105.931711
60.973387,1000,107.710174
23.532338,328,108.442751
-90.462026,373,110.989993
-25.797044,296,111.555817
-282.96039,233,111.969896
-232.770189,311,112.52929
-34.972871,152,112.819089
38.250377,1000,116.854284
-62.029165,123,117.111938
-215.687202,382,117.768039
-20.391144,429,118.568854
66.206223,163,118.882809
96.608721,1000,122.651534
3.373987,246,123.088526
-193.210204,289,123.587102
39.789789,1000,125.651885
-8.024058,403,128.314523
-36.870575,275,128.789117
62.791056,171,129.108712
-12.302433,316,129.682353
-6.10659,130,129.913169
-80.416665,332,130.551047
-13.200524,206,130.932104
-35.365323,296,131.467775
19.037998,211,133.91919
-182.935193,431,134.60469
-8.66164,191,134.933031
8.980296,179,135.242707
0.530449,195,135.596625
-52.06699,186,135.944139
-25.581618,344,136.562372
62.385042,1000,140.356024
-20.463746,232,140.901132
-33.897321,149,141.183941
32.442055,174,141.495336
