#{"t_start": 1744465456.1177409, "env_id": "LunarLander-v2"}
r,l,t
0.0,67,0.259172
0.0,112,0.48885
0.0,66,0.616208
0.0,103,0.827053
0.0,122,1.082868
0.0,70,1.234584
0.0,101,1.429899
0.0,106,1.634696
0.0,85,1.810825
0.0,61,1.934585
0.0,86,2.107178
0.0,94,2.313238
0.0,91,2.578739
0.0,117,2.797648
0.0,110,3.009239
0.0,70,3.139153
0.0,104,3.333449
0.0,79,3.483067
0.0,140,3.741962
0.0,79,3.911844
0.0,86,4.080608
0.0,119,7.068117
0.0,90,7.233883
0.0,98,7.422322
0.0,99,7.635118
0.0,71,7.770243
0.0,81,7.932315
0.0,108,8.167007
0.0,67,8.287634
0.0,89,8.530648
0.0,101,8.711218
0.0,69,8.890864
0.0,59,9.003018
0.0,97,9.170252
0.0,71,9.368238
0.0,60,9.510412
0.0,68,9.761987
0.0,67,9.875122
0.0,86,10.06295
0.0,77,10.213457
0.0,101,10.420634
0.0,78,10.562016
0.0,89,10.799218
0.0,96,10.995503
0.0,93,11.187237
0.0,102,11.412873
0.0,106,13.962132
0.0,87,14.161721
0.0,85,14.319253
0.0,91,14.513124
0.0,71,14.676862
0.0,98,14.87514
0.0,105,15.073952
0.0,77,15.211324
0.0,108,15.452995
0.0,77,15.607046
0.0,109,15.843706
0.0,69,15.979341
0.0,111,16.25667
0.0,99,16.449398
0.0,78,16.595653
0.0,67,16.736275
0.0,66,16.879408
0.0,63,17.004157
0.0,57,17.13153
0.0,97,17.37493
0.0,113,17.663013
0.0,95,17.833709
0.0,115,18.072573
0.0,77,20.465062
0.0,71,20.588331
0.0,118,20.786751
0.0,80,20.937964
0.0,83,21.096198
0.0,85,21.315187
0.0,106,21.571238
0.0,70,21.743411
0.0,112,22.01009
0.0,96,22.205032
0.0,69,22.333634
0.0,71,22.488629
0.0,86,22.665411
0.0,89,22.833465
0.0,82,22.992267
0.0,71,23.138174
0.0,99,23.398178
0.0,91,23.57734
0.0,115,23.806947
0.0,102,24.071473
0.0,116,24.278934
0.0,59,24.382802
0.0,84,24.542947
0.0,80,26.817353
0.0,61,26.953825
0.0,73,27.104717
0.0,73,27.239644
0.0,65,27.358965
0.0,84,27.528577
0.0,86,27.682311
0.0,62,27.79329
0.0,90,27.959653
0.0,62,28.076919
0.0,84,28.24741
0.0,91,28.427979
0.0,64,28.6194
0.0,89,28.780219
0.0,84,28.99708
0.0,94,29.196341
0.0,74,29.385641
0.0,80,29.635303
0.0,53,29.756227
0.0,70,29.896487
0.0,66,30.039459
0.0,88,30.210155
0.0,77,30.350923
0.0,96,30.540444
0.0,96,30.734475
0.0,100,30.94698
0.0,58,33.134044
0.0,87,33.32329
0.0,81,33.57388
0.0,59,33.744385
0.0,93,34.040374
0.0,76,34.235533
0.0,62,34.342172
0.0,80,34.485587
0.0,60,34.600363
0.0,61,34.69204
0.0,84,34.861256
0.0,62,34.992628
0.0,67,35.125797
0.0,64,35.257416
0.0,72,35.414967
0.0,75,35.558325
0.0,83,35.769987
0.0,68,35.929185
0.0,71,36.080486
0.0,70,36.28267
0.0,65,36.406765
0.0,63,36.568524
0.0,89,36.772881
0.0,56,36.899094
0.0,66,37.027483
0.0,84,37.222484
0.0,88,37.469534
0.0,85,37.641105
0.0,77,40.007557
0.0,76,40.18097
0.0,82,40.358891
0.0,78,40.544695
0.0,66,40.683404
0.0,79,40.923775
0.0,77,41.068023
0.0,84,41.348233
0.0,62,41.471244
0.0,73,41.604734
0.0,78,41.772571
0.0,88,42.046834
0.0,56,42.214802
0.0,63,42.334601
0.0,95,42.520553
0.0,103,42.716428
0.0,55,42.802207
0.0,79,42.928831
0.0,59,43.038129
0.0,57,43.125926
0.0,72,43.246339
0.0,71,43.395883
0.0,87,43.541955
0.0,102,43.751186
0.0,93,43.936096
0.0,106,44.155545
0.0,90,46.565073
0.0,77,46.708369
0.0,83,46.850408
0.0,75,46.981036
0.0,70,47.099629
0.0,89,47.243075
0.0,100,47.400435
0.0,98,47.593567
0.0,78,47.740556
0.0,65,47.852873
0.0,107,48.095856
0.0,96,48.324577
0.0,95,48.489326
0.0,67,48.587554
0.0,71,48.712446
0.0,72,48.901527
0.0,84,49.059619
0.0,61,49.158823
0.0,58,49.263504
0.0,109,49.463494
0.0,72,49.614243
0.0,108,49.826738
0.0,103,50.0892
0.0,67,50.322599
0.0,94,50.531403
0.0,90,53.117695
0.0,74,53.337328
0.0,106,53.609945
0.0,87,53.866716
0.0,88,54.111441
0.0,91,54.313371
0.0,98,54.507893
0.0,117,54.735418
0.0,102,55.033668
0.0,111,55.311265
0.0,114,55.596242
0.0,79,55.785621
0.0,111,56.032686
0.0,66,56.196027
0.0,104,56.490184
0.0,61,56.610825
0.0,65,56.745255
0.0,90,56.950848
0.0,91,57.249997
0.0,93,57.50675
0.0,91,57.787106
0.0,75,57.936299
0.0,60,58.101165
0.0,122,60.505853
0.0,81,60.672944
0.0,112,60.881912
0.0,96,61.050085
0.0,115,61.293828
0.0,105,61.502376
0.0,108,61.780834
0.0,79,61.965801
0.0,99,62.151521
0.0,77,62.305213
0.0,75,62.498631
0.0,70,62.675382
0.0,99,62.885331
0.0,84,63.126276
0.0,105,63.314045
0.0,64,63.421245
0.0,61,63.52157
0.0,102,63.716247
0.0,69,63.844131
0.0,78,63.996497
0.0,80,64.176792
0.0,62,64.301961
0.0,89,64.4565
0.0,102,66.809963
0.0,68,66.960248
0.0,99,67.144019
0.0,82,67.31181
0.0,87,67.492724
0.0,85,67.663428
0.0,82,67.834793
0.0,97,68.032784
0.0,101,68.254483
0.0,89,68.50547
0.0,68,68.667177
0.0,99,68.868278
0.0,118,69.181188
0.0,89,69.362864
0.0,73,69.514382
0.0,84,69.702576
0.0,76,69.91114
0.0,84,70.180317
0.0,67,70.343552
0.0,91,70.543514
0.0,94,70.725136
0.0,60,70.851756
0.0,91,71.092723
0.0,93,71.414297
0.0,100,74.05851
0.0,78,74.206052
0.0,102,74.452875
0.0,83,74.624942
0.0,68,74.761399
0.0,61,74.884597
0.0,95,75.073599
0.0,93,75.254991
0.0,66,75.381368
0.0,64,75.57867
0.0,86,75.814419
0.0,85,76.008279
0.0,101,76.285718
0.0,116,76.5798
0.0,107,76.834816
0.0,115,77.126266
0.0,66,77.360948
0.0,87,77.568182
0.0,102,77.77918
0.0,112,78.066186
0.0,56,78.182065
0.0,66,78.33195
0.0,110,78.6278
0.0,74,81.558785
0.0,94,81.719458
0.0,125,81.980229
0.0,82,82.234808
0.0,99,82.436328
0.0,92,82.618554
0.0,94,82.786592
0.0,116,83.059914
0.0,106,83.313427
0.0,117,83.603982
0.0,62,83.770426
0.0,65,83.915461
0.0,66,84.066658
0.0,88,84.282009
0.0,94,84.506166
0.0,77,84.696457
0.0,88,84.892902
0.0,113,85.121014
0.0,97,85.38136
0.0,82,85.605761
0.0,100,85.896366
0.0,69,86.121264
0.0,96,89.111724
0.0,93,89.381423
0.0,68,89.554208
0.0,85,89.747679
0.0,109,90.016383
0.0,103,90.291874
0.0,88,90.510256
0.0,107,90.779925
0.0,68,90.936048
0.0,84,91.126391
0.0,107,91.401279
0.0,98,91.624053
0.0,113,91.865053
0.0,70,92.016026
0.0,109,92.25813
0.0,79,92.4297
0.0,77,92.601068
0.0,81,92.77712
0.0,86,92.957471
0.0,65,93.087982
0.0,94,93.356525
0.0,75,93.54836
0.0,80,93.752954
0.0,65,93.921787
0.0,74,96.228424
0.0,108,96.45583
0.0,94,96.661235
0.0,76,96.824326
0.0,65,96.964649
0.0,98,97.196671
0.0,73,97.354585
0.0,108,97.612728
0.0,78,97.802579
0.0,81,97.989245
0.0,91,98.204904
0.0,122,98.453146
0.0,117,98.697469
0.0,112,98.954951
0.0,91,99.168176
0.0,88,99.394682
0.0,103,99.617303
0.0,102,99.833592
0.0,97,100.057379
0.0,63,100.180492
0.0,74,100.374713
0.0,91,100.583143
0.0,90,103.081106
0.0,113,103.289956
0.0,90,103.494572
0.0,87,103.691686
0.0,69,103.943169
0.0,93,104.22102
0.0,91,104.418864
0.0,84,104.619049
0.0,90,104.828903
0.0,58,104.981432
0.0,88,105.196988
0.0,104,105.514112
0.0,77,105.714284
0.0,100,105.960141
0.0,93,106.208631
0.0,94,106.450165
0.0,89,106.664567
0.0,115,106.950839
0.0,85,107.144473
0.0,94,107.384116
0.0,60,107.543407
0.0,108,107.829059
0.0,67,107.998133
0.0,94,110.563438
0.0,98,110.788061
0.0,101,110.983187
0.0,102,111.170906
0.0,107,111.367801
0.0,79,111.534906
0.0,103,111.757889
0.0,90,111.991925
0.0,81,112.174868
0.0,84,112.361723
0.0,73,112.530168
0.0,66,112.673719
0.0,81,112.838018
0.0,75,112.99885
0.0,100,113.218318
0.0,78,113.388799
0.0,76,113.553337
0.0,89,113.754819
0.0,105,114.000259
0.0,68,114.181868
0.0,107,114.433887
0.0,69,114.582788
0.0,74,114.75809
0.0,66,114.911873
0.0,75,117.511526
0.0,115,117.805234
0.0,113,118.070565
0.0,98,118.25262
0.0,90,118.411237
0.0,91,118.598409
0.0,82,118.76022
0.0,74,118.914155
0.0,97,119.130821
0.0,80,119.313027
0.0,118,119.589694
0.0,97,119.813266
0.0,67,119.966619
0.0,109,120.213276
0.0,108,120.483511
0.0,76,120.679638
0.0,108,120.944238
0.0,86,121.127916
